sample,x_input,y_output
        822, -1712,  -513
        823, -2647, -1540
        824, -3573, -2564
        825, -4488, -3074
        826, -5387, -4090
        827, -6269, -5098
        828, -7130, -6096
        829, -7967, -6590
        830, -8778, -7570
        831, -9560, -8536
        832,-10310, -9013
        833,-11026, -9955
        834,-11705,-10419
        835,-12346,-10879
        836,-12945,-11784
        837,-13502,-12229
        838,-14013,-12669
        839,-14479,-13103
        840,-14896,-13532
        841,-15264,-13956
        842,-15581,-13956
        843,-15847,-14374
        844,-16060,-14374
        845,-16220,-14786
        846,-16326,-14786
        847,-16377,-14786
        848,-16375,-14786
        849,-16318,-14786
        850,-16207,-14786
        851,-16043,-14786
        852,-15825,-14786
        853,-15554,-14374
        854,-15232,-14374
        855,-14860,-13956
        856,-14438,-13956
        857,-13969,-13532
        858,-13453,-13103
        859,-12892,-12669
        860,-12289,-12229
        861,-11645,-11784
        862,-10962,-10879
        863,-10243,-10419
        864, -9490, -9955
        865, -8706, -9013
        866, -7892, -8536
        867, -7053, -7570
        868, -6190, -6590
        869, -5306, -6096
        870, -4405, -5098
        871, -3490, -4090
        872, -2562, -3074
        873, -1627, -2564
        874,  -686, -1540
        875,   257,  -513
        876,  1199,     0
        877,  2138,  1027
        878,  3069,  2053
        879,  3991,  2564
        880,  4899,  3583
        881,  5791,  4595
        882,  6663,  5598
        883,  7514,  6590
        884,  8339,  7082
        885,  9137,  8055
        886,  9905,  8536
        887, 10640,  9486
        888, 11339,  9955
        889, 12001, 10879
        890, 12623, 11334
        891, 13203, 11784
        892, 13740, 12229
        893, 14231, 12669
        894, 14674, 13103
        895, 15069, 13532
        896, 15414, 13956
        897, 15708, 14374
        898, 15950, 14374
        899, 16139, 14786
        900, 16274, 14786
        901, 16356, 14786
        902, 16383, 14786
        903, 16356, 14786
        904, 16274, 14786
        905, 16139, 14786
        906, 15950, 14786
        907, 15708, 14786
        908, 15414, 14374
        909, 15069, 14374
        910, 14674, 13956
        911, 14231, 13532
        912, 13740, 13103
        913, 13203, 12669
        914, 12623, 12229
        915, 12001, 11784
        916, 11339, 11334
        917, 10640, 10879
        918,  9905,  9955
        919,  9137,  9486
        920,  8339,  8536
        921,  7514,  8055
        922,  6663,  7082
        923,  5791,  6590
        924,  4899,  5598
        925,  3991,  4595
        926,  3069,  3583
        927,  2138,  2564
        928,  1199,  2053
        929,   257,  1027
        930,  -686,     0
        931, -1627,  -513
        932, -2562, -1540
        933, -3490, -2564
        934, -4405, -3074
        935, -5306, -4090
        936, -6190, -5098
        937, -7053, -6096
        938, -7892, -6590
        939, -8706, -7570
        940, -9490, -8536
        941,-10243, -9013
        942,-10962, -9955
        943,-11645,-10419
        944,-12289,-10879
        945,-12892,-11784
        946,-13453,-12229
        947,-13969,-12669
        948,-14438,-13103
        949,-14860,-13532
        950,-15232,-13956
        951,-15554,-13956
        952,-15825,-14374
        953,-16043,-14374
        954,-16207,-14786
        955,-16318,-14786
        956,-16375,-14786
        957,-16377,-14786
        958,-16326,-14786
        959,-16220,-14786
        960,-16060,-14786
        961,-15847,-14786
        962,-15581,-14374
        963,-15264,-14374
        964,-14896,-13956
        965,-14479,-13956
        966,-14013,-13532
        967,-13502,-13103
        968,-12945,-12669
        969,-12346,-12229
        970,-11705,-11784
        971,-11026,-10879
        972,-10310,-10419
        973, -9560, -9955
        974, -8778, -9013
        975, -7967, -8536
        976, -7130, -7570
        977, -6269, -6590
        978, -5387, -6096
        979, -4488, -5098
        980, -3573, -4090
        981, -2647, -3074
        982, -1712, -2564
        983,  -771, -1540
        984,   171,  -513
        985,  1114,     0
        986,  2053,  1027
        987,  2985,  2053
        988,  3908,  2564
        989,  4817,  3583
        990,  5710,  4595
        991,  6585,  5598
        992,  7437,  6096
        993,  8265,  7082
        994,  9066,  8055
        995,  9836,  8536
        996, 10574,  9486
        997, 11277,  9955
        998, 11943, 10879
        999, 12568, 11334
       1000, 13152, 11784
       1001, 13693, 12229
       1002, 14188, 12669
       1003, 14636, 13103
       1004, 15036, 13532
       1005, 15385, 13956
       1006, 15684, 14374
       1007, 15930, 14374
       1008, 16124, 14786
       1009, 16264, 14786
       1010, 16351, 14786
       1011, 16383, 14786
       1012, 16361, 14786
