sample,x_in,y_out,mode
2561, 13624, 17870,1
2562, 11935, 15987,1
2563, 10206, 13956,1
2564,  8443, 11784,1
2565,  6653,  9486,1
2566,  4840,  7082,1
2567,  3011,  4090,1
2568,  1172,  1540,1
2569,  -670,  -513,1
2570, -2510, -3583,1
2571, -4342, -6096,1
2572, -6160, -9013,1
2573, -7958,-11334,1
2574, -9729,-13532,1
2575,-11467,-15593,1
2576,-13168,-17505,1
2577,-14825,-19264,1
2578,-16433,-20869,1
2579,-17986,-22042,1
2580,-19480,-23376,1
2581,-20909,-24341,1
2582,-22269,-25220,1
2583,-23555,-26019,1
2584,-24762,-26568,1
2585,-25888,-27076,1
2586,-26928,-27546,1
2587,-27878,-27981,1
2588,-28736,-28382,1
2589,-29499,-28632,1
2590,-30164,-28869,1
2591,-30729,-29092,1
2592,-31192,-29200,1
2593,-31551,-29304,1
2594,-31806,-29405,1
2595,-31956,-29405,1
2596,-31999,-29405,1
2597,-31936,-29405,1
2598,-31768,-29405,1
2599,-31494,-29304,1
2600,-31115,-29200,1
2601,-30634,-28982,1
2602,-30051,-28869,1
2603,-29368,-28632,1
2604,-28587,-28252,1
2605,-27712,-27981,1
2606,-26745,-27546,1
2607,-25690,-27076,1
2608,-24549,-26389,1
2609,-23326,-25827,1
2610,-22027,-25008,1
2611,-20654,-24108,1
2612,-19213,-23121,1
2613,-17708,-21758,1
2614,-16144,-20560,1
2615,-14527,-18925,1
2616,-12862,-17135,1
2617,-11154,-15192,1
2618, -9409,-13103,1
2619, -7633,-10879,1
2620, -5831, -8536,1
2621, -4010, -5598,1
2622, -2176, -3074,1
2623,  -335,     0,1
2624,  1507,  2053,1
2625,  3344,  4595,1
2626,  5171,  7570,1
2627,  6980,  9955,1
2628,  8766, 12229,1
2629, 10523, 14374,1
2630, 12245, 16376,1
2631, 13927, 18228,1
2632, 15562, 19925,1
2633, 17146, 21468,1
2634, 18673, 22593,1
2635, 20138, 23626,1
2636, 21536, 24791,1
2637, 22863, 25427,1
2638, 24114, 26206,1
2639, 25284, 26911,1
2640, 26372, 27394,1
2641, 27371, 27840,1
2642, 28280, 28118,1
2643, 29095, 28509,1
2644, 29814, 28752,1
2645, 30433, 28982,1
2646, 30952, 29092,1
2647, 31368, 29200,1
2648, 31680, 29304,1
2649, 31887, 29405,1
2650, 31989, 29405,1
2651, 31984, 29405,1
2652, 31873, 29405,1
2653, 31656, 29304,1
2654, 31335, 29200,1
2655, 30909, 29092,1
2656, 30381, 28982,1
2657, 29752, 28752,1
2658, 29025, 28509,1
2659, 28201, 28118,1
2660, 27284, 27695,1
2661, 26276, 27237,1
2662, 25181, 26741,1
2663, 24003, 26206,1
2664, 22745, 25427,1
2665, 21412, 24569,1
2666, 20007, 23626,1
2667, 18537, 22593,1
2668, 17004, 21171,1
2669, 15416, 19925,1
2670, 13776, 18228,1
2671, 12090, 16376,1
2672, 10365, 14374,1
2673,  8605, 12229,1
2674,  6816,  9486,1
2675,  5005,  7082,1
2676,  3178,  4595,1
2677,  1340,  1540,1
2678,  -502,  -513,1
2679, -2343, -3074,1
2680, -4176, -6096,1
2681, -5996, -8536,1
2682, -7795,-10879,1
2683, -9569,-13532,1
2684,-11311,-15593,1
2685,-13015,-17505,1
2686,-14676,-18925,1
2687,-16289,-20560,1
2688,-17847,-22042,1
2689,-19347,-23121,1
2690,-20782,-24108,1
2691,-22148,-25008,1
2692,-23441,-25827,1
2693,-24656,-26568,1
2694,-25789,-27076,1
2695,-26837,-27546,1
2696,-27796,-27981,1
2697,-28662,-28252,1
2698,-29434,-28632,1
2699,-30108,-28869,1
2700,-30682,-28982,1
2701,-31154,-29200,1
2702,-31523,-29304,1
2703,-31787,-29405,1
2704,-31946,-29405,1
2705,-31999,-29405,1
2706,-31946,-29405,1
2707,-31787,-29405,1
2708,-31523,-29304,1
2709,-31154,-29200,1
2710,-30682,-28982,1
2711,-30108,-28869,1
2712,-29434,-28632,1
2713,-28662,-28252,1
2714,-27796,-27981,1
2715,-26837,-27546,1
2716,-25789,-27076,1
2717,-24656,-26568,1
2718,-23441,-25827,1
2719,-22148,-25008,1
2720,-20782,-24108,1
2721,-19347,-23121,1
2722,-17847,-22042,1
2723,-16289,-20560,1
2724,-14676,-18925,1
2725,-13015,-17505,1
2726,-11311,-15593,1
2727, -9569,-13532,1
2728, -7795,-10879,1
2729, -5996, -8536,1
2730, -4176, -6096,1
2731, -2343, -3074,1
2732,  -502,  -513,1
2733,  1340,  1540,1
2734,  3178,  4595,1
2735,  5005,  7082,1
2736,  6816,  9486,1
2737,  8605, 12229,1
2738, 10365, 14374,1
2739, 12090, 16376,1
2740, 13776, 18228,1
2741, 15416, 19925,1
2742, 17004, 21171,1
2743, 18536, 22593,1
2744, 20007, 23626,1
2745, 21412, 24569,1
2746, 22745, 25427,1
2747, 24003, 26206,1
2748, 25181, 26741,1
2749, 26276, 27237,1
2750, 27284, 27695,1
2751, 28201, 28118,1
2752, 29025, 28509,1
2753, 29752, 28752,1
2754, 30381, 28982,1
2755, 30909, 29092,1
2756, 31335, 29200,1
2757, 31656, 29304,1
2758, 31873, 29405,1
2759, 31984, 29405,1
2760, 31989, 29405,1
2761, 31887, 29405,1
